fid,type,if_si,name,geometry
498,parking,false,,POINT(347728.19733874715 6641548.811594016)
498,parking,false,,POINT(347709.06763103395 6641549.6964586815)
498,parking,false,,POINT(347716.2169461013 6641571.070885404)
494,parking,false,,POINT(348226.5945921847 6643424.55387501)
494,parking,false,,POINT(348215.577089201 6643446.9952347735)
494,parking,false,,POINT(348230.7301578851 6643456.985642183)
494,parking,false,,POINT(348243.7275912769 6643435.629923388)
494,parking,false,,POINT(348227.58411466714 6643422.538333916)
493,parking,false,,POINT(348086.4568242801 6643465.79872103)
493,parking,false,,POINT(348069.28319731884 6643470.367270988)
493,parking,false,,POINT(348077.0132048171 6643485.8990253685)
491,parking,false,,POINT(347537.41436754033 6643331.135055442)
491,parking,false,,POINT(347545.7711515195 6643307.573133587)
491,parking,false,,POINT(347554.12793549866 6643284.0112117315)
491,parking,false,,POINT(347562.4847194778 6643260.449289876)
491,parking,false,,POINT(347570.84150345705 6643236.887368021)
491,parking,false,,POINT(347575.66947486054 6643238.860041906)
491,parking,false,,POINT(347567.29734217434 6643262.416514357)
491,parking,false,,POINT(347558.8887086827 6643285.959944624)
491,parking,false,,POINT(347550.4369750982 6643309.487974703)
491,parking,false,,POINT(347542.0962999797 6643333.055267476)
491,parking,false,,POINT(347529.5525611759 6643353.301389724)
490,parking,false,,POINT(347714.1701189212 6644048.881099957)
490,parking,false,,POINT(347726.48431380605 6644031.3853162825)
490,parking,false,,POINT(347735.3613521045 6644008.014432879)
490,parking,false,,POINT(347744.238390403 6643984.643549476)
490,parking,false,,POINT(347753.11542870145 6643961.2726660725)
490,parking,false,,POINT(347761.9924669999 6643937.901782669)
490,parking,false,,POINT(347770.8695052983 6643914.530899266)
490,parking,false,,POINT(347770.17326493026 6643895.571741192)
490,parking,false,,POINT(347755.7272025448 6643906.6874723835)
490,parking,false,,POINT(347747.0051408409 6643930.116634546)
490,parking,false,,POINT(347738.283079137 6643953.545796708)
490,parking,false,,POINT(347729.56101743306 6643976.974958871)
490,parking,false,,POINT(347720.83895572915 6644000.404121033)
490,parking,false,,POINT(347712.11689402524 6644023.833283195)
490,parking,false,,POINT(347703.3948323213 6644047.262445358)
489,parking,false,,POINT(348105.1632220563 6643500.241927279)
489,parking,false,,POINT(348112.98883758567 6643516.477582634)
489,parking,false,,POINT(348092.60177753534 6643509.140686191)
488,parking,false,,POINT(348110.0760849434 6643440.800425211)
488,parking,false,,POINT(348132.05325191567 6643452.716973866)
488,parking,false,,POINT(348154.03041888797 6643464.633522523)
488,parking,false,,POINT(348164.7719451225 6643479.876660859)
488,parking,false,,POINT(348145.73577681027 6643477.90772891)
488,parking,false,,POINT(348123.7547289884 6643465.998340318)
488,parking,false,,POINT(348101.77368116647 6643454.0889517255)
486,parking,false,,POINT(348443.6509825411 6643459.707094615)
486,parking,false,,POINT(348452.32953710225 6643478.064407023)
486,parking,false,,POINT(348456.56992612797 6643502.70216465)
486,parking,false,,POINT(348444.61702410446 6643510.272467209)
486,parking,false,,POINT(348440.3739826787 6643485.635166232)
486,parking,false,,POINT(348436.1309412529 6643460.997865254)
70200,parking,false,,POINT(347172.04013804527 6643481.967820462)
466,parking,false,,POINT(347938.0237103448 6642673.3898702795)
466,parking,false,,POINT(347918.76337660075 6642689.328488289)
466,parking,false,,POINT(347955.5561762379 6642658.881124982)
466,parking,false,,POINT(347938.0493830752 6642656.9490981735)
466,parking,false,,POINT(347919.031952972 6642673.176770597)
110594,pharmacy,false,Вита Экспресс,POINT(348886.32076900924 6644270.617470223)
54846,pharmacy,false,Озерки,POINT(347565.2941184323 6643616.5006744675)
30595,pharmacy,false,ЛекОптТорг,POINT(347547.73461597564 6643594.434869904)
7804,pharmacy,false,Невис,POINT(347543.7018045087 6642808.848865441)
162498,pharmacy,false,Столички,POINT(347123.45195549726 6641995.233906854)
163162,pharmacy,false,Столички,POINT(347119.615099147 6641987.799645142)
57088,pharmacy,false,Экономь!,POINT(347595.7663709155 6643564.795636862)
124905,pharmacy,false,Столички,POINT(347599.37196900195 6643566.3976054825)
124915,pharmacy,false,Столички,POINT(348834.59973698715 6644205.12225081)
127512,pharmacy,false,Алоэ,POINT(348933.199309619 6644136.743727642)
84401,pharmacy,false,Невис,POINT(347284.52991295425 6642416.261833621)
30590,pharmacy,false,Нева-Гомео-Фарм,POINT(347722.4789860278 6643709.15805099)
131240,pharmacy,false,Алоэ,POINT(347895.0000450668 6642622.101020854)
111922,pharmacy,false,гомеопатическая аптека,POINT(347669.2722109601 6643635.209583502)
139582,pharmacy,false,Аптека.ру,POINT(347396.9264754654 6643470.158678456)
139593,pharmacy,false,Ригла,POINT(347452.6557579617 6643378.846046928)
23311,pharmacy,false,Вита Экспресс,POINT(347605.3273774487 6643307.011302963)
134419,pharmacy,false,,POINT(348406.30086826836 6643335.710828435)
54818,pharmacy,false,Горздрав,POINT(347539.7454776546 6643699.745048787)
158783,pharmacy,false,Апрель,POINT(347519.42992025136 6643861.175483744)
27323,pharmacy,false,Горздрав,POINT(348956.85381916096 6644162.301659837)
5438,pharmacy,false,Здоровые люди,POINT(347249.75163012533 6642389.823198932)
93325,pharmacy,false,Горздрав,POINT(347401.4677885916 6642385.75315436)
14727,pharmacy,false,Озерки,POINT(347550.8111607067 6643238.034858819)
162789,photo_booth,true,Boft,POINT(347471.76819008664 6643440.193129484)
159688,photo_booth,true,Boft,POINT(347424.4661115238 6643506.306465396)
51132,photo_studio,false,,POINT(347915.8844786441 6644029.548907509)
312,pier,true,,POINT(347559.8057470794 6644415.875175389)
311,pier,true,,POINT(347061.5459835243 6644477.067576979)
595,pier,true,,POINT(346243.9307002769 6643600.4122195095)
538,pier,true,,POINT(346743.9754526522 6644504.240859106)
538,pier,true,,POINT(346736.8697621628 6644501.534193788)
595,pier,true,,POINT(346260.4586246155 6643614.966609551)
313,pier,true,,POINT(348957.0277915476 6644333.242277306)
313,pier,true,,POINT(348966.9451599303 6644329.662998036)
595,pier,true,,POINT(346276.6876433898 6643606.667026571)
311,pier,true,,POINT(347066.41358391277 6644473.434734096)
538,pier,true,,POINT(346738.4956658683 6644480.99004231)
310,pier,true,,POINT(347579.192870125 6644447.90023217)
